"","Station.Name","Station.Latitude","Station.Longitude"
"1","25th St",40.660397,-73.998091
"3","36th St",40.655144,-74.003549
"6","45th St",40.648939,-74.010006
"10","53rd St",40.645069,-74.014034
"15","59th St",40.641362,-74.017881
"21","77th St",40.629742,-74.02551
"24","86th St",40.622687,-74.028398
"27","95th St",40.616622,-74.030876
"32","9th St",40.670847,-73.988302
"34","Atlantic Av-Barclays Ctr",40.683666,-73.97881
"35","Bay Ridge Av",40.634967,-74.023377
"38","DeKalb Av",40.690635,-73.981824
"44","Pacific St",40.683666,-73.97881
"46","Prospect Av",40.665414,-73.992872
"49","Union St",40.677316,-73.98311
"53","30 Av-Grand Av",40.766779,-73.921479
"57","36 Av-Washington Av",40.756804,-73.929575
"60","39 Av-Beebe Av",40.752882,-73.932755
"62","Astoria Blvd-Hoyt Av",40.770258,-73.917843
"66","Broadway",40.76182,-73.925508
"69","Ditmars Blvd",40.775036,-73.912034
"73","7th Av",40.67705,-73.972367
"75","Atlantic Av",40.68446,-73.97689
"76","Av H",40.62927,-73.961639
"78","Av J",40.625039,-73.960803
"81","Av M",40.617618,-73.959399
"83","Av U",40.5993,-73.955929
"84","Beverly Rd",40.644031,-73.964492
"85","Brighton Beach",40.577621,-73.961376
"93","Church Av",40.650527,-73.962982
"95","Cortelyou Rd",40.640927,-73.963891
"96","Kings Highway",40.60867,-73.957734
"99","Neck Rd",40.595246,-73.955161
"100","Newkirk Av",40.635082,-73.962793
"101","Ocean Parkway",40.576312,-73.968501
"107","Parkside Av",40.655292,-73.961495
"109","Prospect Park",40.661614,-73.962246
"112","Sheepshead Bay",40.586896,-73.954155
"114","Stillwell Av",40.577422,-73.981233
"115","West 8th St",40.576127,-73.975939
"117","23rd St",40.741303,-73.989344
"125","28th St",40.745494,-73.988691
"129","34th St",40.749567,-73.98795
"133","49th St",40.759901,-73.984139
"140","57th St",40.764664,-73.980658
"148","5th Av",40.764811,-73.973347
"155","8th St",40.730328,-73.992629
"163","Canal St (UL)",40.719527,-74.001775
"170","City Hall",40.713282,-74.006978
"173","Cortlandt St",40.710668,-74.011029
"177","Court St",40.6941,-73.991777
"180","Lawrence St",40.69218,-73.985942
"187","Lexington Av",40.76266,-73.967258
"191","Prince St",40.724329,-73.997702
"195","Rector St",40.70722,-74.013342
"204","Times Square-42nd St",40.754672,-73.986754
"208","Union Square",40.735736,-73.990568
"212","Whitehall St",40.703087,-74.012994
"218","104th St-102nd St",40.695178,-73.84433
"220","111th St",40.697418,-73.836345
"222","121st St",40.700492,-73.828294
"226","Alabama Av",40.676992,-73.898654
"228","Chauncey St",40.682893,-73.910456
"230","Cleveland St",40.679947,-73.884639
"232","Crescent St",40.683194,-73.873785
"234","Cypress Hills",40.689941,-73.87255
"237","Elderts Lane-75th St",40.691324,-73.867139
"239","Flushing Av",40.70026,-73.941126
"243","Forest Parkway-85th St",40.692435,-73.86001
"245","Gates Av",40.68963,-73.92227
"247","Halsey St",40.68637,-73.916559
"249","Hewes St",40.70687,-73.953431
"251","Kosciusko St",40.693342,-73.928814
"253","Lorimer St",40.703869,-73.947408
"257","Marcy Av",40.708359,-73.957757
"265","Myrtle Av",40.697207,-73.935657
"267","Norwood Av",40.68141,-73.880039
"269","Van Siclen Av",40.678024,-73.891688
"271","Woodhaven Blvd",40.693879,-73.851576
"274","1st Av",40.730953,-73.981628
"278","3rd Av",40.732849,-73.986122
"282","6th Av",40.737335,-73.996786
"284","8th Av",40.739777,-74.002578
"286","Atlantic Av",40.675345,-73.903097
"289","Bedford Av",40.717304,-73.956872
"293","Bushwick Av",40.682829,-73.905249
"294","Canarsie - Rockaway Parkway",40.645957,-73.901741
"295","Canarsie - Rockaway Parkway",40.645757,-73.9025
"296","Canarsie - Rockaway Parkway",40.646654,-73.90185
"297","DeKalb Av",40.703811,-73.918425
"305","East 105th St",40.650573,-73.899485
"307","Graham Av",40.714565,-73.944053
"311","Grand St",40.711926,-73.94067
"315","Halsey St",40.695602,-73.904084
"321","Jefferson St",40.706607,-73.922913
"327","Livonia Av",40.664038,-73.900571
"329","Lorimer St",40.714063,-73.950275
"331","Montrose Av",40.707739,-73.93985
"333","Morgan Av",40.706152,-73.933147
"336","Myrtle Av",40.699814,-73.911586
"339","New Lots Av",40.658733,-73.899232
"340","Sutter Av",40.669367,-73.901975
"341","Union Square",40.734789,-73.99073
"343","Wilson Av",40.688764,-73.904046
"347","Botanic Gardens",40.670343,-73.959245
"348","Franklin Av",40.680596,-73.955827
"349","Park Place",40.674772,-73.957624
"351","Central Av",40.697857,-73.927397
"353","Forest Av",40.704423,-73.903077
"355","Fresh Pond Rd",40.706186,-73.895877
"357","Knickerbocker Av",40.698664,-73.919711
"359","Metropolitan Av",40.711396,-73.889601
"360","Seneca Av",40.702762,-73.90774
"362","Bowery",40.72028,-73.993915
"364","Broad St",40.706476,-74.011056
"373","Canal St",40.718092,-73.999892
"374","Chambers St",40.713243,-74.003401
"375","Chambers St",40.71419,-74.003199
"376","Essex St",40.718315,-73.987437
"378","Fulton St",40.710374,-74.007582
"384","18th Av",40.620671,-73.990414
"386","20th Av",40.61741,-73.985026
"387","86th St",40.592721,-73.97823
"388","8th Av",40.635064,-74.011719
"389","Av U",40.597473,-73.979137
"391","Bay Parkway-22nd Av",40.611815,-73.981848
"393","Fort Hamilton Parkway",40.631386,-74.005351
"395","Kings Highway",40.603923,-73.980353
"397","New Utrecht Av",40.624842,-73.996353
"399","18th Av",40.607954,-74.001736
"402","20th Av",40.604556,-73.998168
"406","25th Av",40.597704,-73.986829
"410","50th St",40.63626,-73.994791
"414","55th St",40.631435,-73.995476
"417","62nd St",40.626472,-73.996895
"420","71st St",40.619589,-73.998864
"426","79th St",40.613501,-74.00061
"430","9th Av",40.646292,-73.994324
"431","Bay 50th St",40.588841,-73.983765
"435","Bay Parkway",40.601875,-73.993728
"439","Fort Hamilton Parkway",40.640914,-73.994304
"443","21st St",40.754203,-73.942836
"448","Lexington Av",40.764627,-73.96611
"453","Roosevelt Island",40.759145,-73.95326
"454","14th St",40.738228,-73.996209
"464","23rd St",40.742878,-73.992821
"472","2nd Av",40.723402,-73.989938
"476","34th St",40.749719,-73.987823
"486","42nd St",40.754222,-73.984569
"495","47-50th Sts Rockefeller Center",40.758663,-73.981329
"512","4th Av",40.670272,-73.989779
"514","57th St",40.763972,-73.97745
"522","7th Av",40.666271,-73.980305
"530","Bergen St",40.686145,-73.990862
"536","Broadway-Lafayette St",40.725297,-73.996204
"541","Carroll St",40.680303,-73.995048
"546","Church Av",40.644041,-73.979678
"552","Delancey St",40.718611,-73.988114
"556","East Broadway",40.713715,-73.990173
"560","Fort Hamilton Parkway",40.650782,-73.975776
"564","Grand St",40.718267,-73.993753
"567","Prospect Park-15 St",40.660365,-73.979493
"573","Smith-9th St",40.67358,-73.995959
"574","York St",40.699743,-73.986885
"575","103rd St",40.796092,-73.961454
"576","116th St",40.805085,-73.954882
"580","125th St",40.811109,-73.952343
"586","135th St",40.817894,-73.947649
"592","145th St",40.824783,-73.944216
"598","14th St",40.740893,-74.00169
"606","155th St",40.830518,-73.941514
"612","163rd St - Amsterdam Av",40.836013,-73.939892
"615","168th St - Washington Heights",40.840719,-73.939561
"619","175th St",40.847391,-73.939704
"626","181st St",40.851695,-73.937969
"631","190th St",40.859022,-73.93418
"633","23rd St",40.745906,-73.998041
"644","34th St",40.752287,-73.993391
"660","42nd St",40.757308,-73.989735
"669","50th St",40.762456,-73.985984
"679","59th St",40.768296,-73.981736
"691","72nd St",40.775594,-73.97641
"694","81st St - Museum of Natural History",40.781433,-73.972143
"698","86th St",40.785868,-73.968916
"703","96th St",40.791646,-73.964699
"706","Broadway-Nassau",40.710197,-74.007691
"708","Canal St",40.720824,-74.005229
"713","Cathedral Parkway-110th St",40.800605,-73.958158
"716","Chambers St",40.714111,-74.008585
"725","Dyckman St-200th St",40.865491,-73.927271
